INFO apscheduler.scheduler: Adding job tentatively -- it will be properly scheduled when the scheduler starts
INFO price_check.bot: Bot started. Check interval = 6 h
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/sendMessage "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
INFO httpx: HTTP Request: POST https://api.telegram.org/bot8937134980:AAGS4pHHiejR3ssKGcG7Alzu1dg68OYbq7Y/getUpdates "HTTP/1.1 200 OK"
